id,created_at,tournament,matchnumber,participant,resulta,resultb,user_id
640,2022-11-20 12:15:27.977683+00,World Cup 2022,1,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
643,2022-11-20 12:15:27.977683+00,World Cup 2022,1,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
642,2022-11-20 12:15:27.977683+00,World Cup 2022,1,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
644,2022-11-20 12:15:27.977683+00,World Cup 2022,1,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
641,2022-11-20 12:15:27.977683+00,World Cup 2022,1,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
645,2022-11-20 12:15:27.977683+00,World Cup 2022,1,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
651,2022-11-20 12:15:27.977683+00,World Cup 2022,2,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
647,2022-11-20 12:15:27.977683+00,World Cup 2022,2,bfca5679-f23c-4a92-b297-7a8ac49860f5,1,2,bfca5679-f23c-4a92-b297-7a8ac49860f5
649,2022-11-20 12:15:27.977683+00,World Cup 2022,2,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
646,2022-11-20 12:15:27.977683+00,World Cup 2022,2,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
648,2022-11-20 12:15:27.977683+00,World Cup 2022,2,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
650,2022-11-20 12:15:27.977683+00,World Cup 2022,2,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
655,2022-11-20 12:15:27.977683+00,World Cup 2022,3,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
654,2022-11-20 12:15:27.977683+00,World Cup 2022,3,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
653,2022-11-20 12:15:27.977683+00,World Cup 2022,3,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
656,2022-11-20 12:15:27.977683+00,World Cup 2022,3,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
657,2022-11-20 12:15:27.977683+00,World Cup 2022,3,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
652,2022-11-20 12:15:27.977683+00,World Cup 2022,3,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
658,2022-11-20 12:15:27.977683+00,World Cup 2022,4,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
663,2022-11-20 12:15:27.977683+00,World Cup 2022,4,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
662,2022-11-20 12:15:27.977683+00,World Cup 2022,4,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
660,2022-11-20 12:15:27.977683+00,World Cup 2022,4,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
661,2022-11-20 12:15:27.977683+00,World Cup 2022,4,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
659,2022-11-20 12:15:27.977683+00,World Cup 2022,4,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
665,2022-11-20 12:15:27.977683+00,World Cup 2022,5,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
668,2022-11-20 12:15:27.977683+00,World Cup 2022,5,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
669,2022-11-20 12:15:27.977683+00,World Cup 2022,5,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
664,2022-11-20 12:15:27.977683+00,World Cup 2022,5,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
667,2022-11-20 12:15:27.977683+00,World Cup 2022,5,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
666,2022-11-20 12:15:27.977683+00,World Cup 2022,5,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
671,2022-11-20 12:15:27.977683+00,World Cup 2022,6,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
672,2022-11-20 12:15:27.977683+00,World Cup 2022,6,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
670,2022-11-20 12:15:27.977683+00,World Cup 2022,6,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
675,2022-11-20 12:15:27.977683+00,World Cup 2022,6,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
673,2022-11-20 12:15:27.977683+00,World Cup 2022,6,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
674,2022-11-20 12:15:27.977683+00,World Cup 2022,6,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
676,2022-11-20 12:15:27.977683+00,World Cup 2022,7,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
680,2022-11-20 12:15:27.977683+00,World Cup 2022,7,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
681,2022-11-20 12:15:27.977683+00,World Cup 2022,7,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
677,2022-11-20 12:15:27.977683+00,World Cup 2022,7,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
679,2022-11-20 12:15:27.977683+00,World Cup 2022,7,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
678,2022-11-20 12:15:27.977683+00,World Cup 2022,7,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
682,2022-11-20 12:15:27.977683+00,World Cup 2022,8,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
686,2022-11-20 12:15:27.977683+00,World Cup 2022,8,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
685,2022-11-20 12:15:27.977683+00,World Cup 2022,8,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
684,2022-11-20 12:15:27.977683+00,World Cup 2022,8,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
687,2022-11-20 12:15:27.977683+00,World Cup 2022,8,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
683,2022-11-20 12:15:27.977683+00,World Cup 2022,8,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
690,2022-11-20 12:15:27.977683+00,World Cup 2022,9,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
693,2022-11-20 12:15:27.977683+00,World Cup 2022,9,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
689,2022-11-20 12:15:27.977683+00,World Cup 2022,9,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
688,2022-11-20 12:15:27.977683+00,World Cup 2022,9,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
691,2022-11-20 12:15:27.977683+00,World Cup 2022,9,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
692,2022-11-20 12:15:27.977683+00,World Cup 2022,9,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
694,2022-11-20 12:15:27.977683+00,World Cup 2022,10,bfca5679-f23c-4a92-b297-7a8ac49860f5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
696,2022-11-20 12:15:27.977683+00,World Cup 2022,10,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
699,2022-11-20 12:15:27.977683+00,World Cup 2022,10,343c3a22-62a6-457f-a464-9603fff6817d,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
698,2022-11-20 12:15:27.977683+00,World Cup 2022,10,389c81d2-4138-4c64-b9f8-4fb8ee09f971,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
697,2022-11-20 12:15:27.977683+00,World Cup 2022,10,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
695,2022-11-20 12:15:27.977683+00,World Cup 2022,10,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
703,2022-11-20 12:15:27.977683+00,World Cup 2022,11,266cfaf2-452e-4105-9782-2aaa20921357,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
702,2022-11-20 12:15:27.977683+00,World Cup 2022,11,524e3376-afa6-402b-bd73-8fdbe83eff9f,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
701,2022-11-20 12:15:27.977683+00,World Cup 2022,11,a167e341-fba0-4296-aa06-b477c44783c5,,,bfca5679-f23c-4a92-b297-7a8ac49860f5
