id,created_at,tournament,matchnumber,teama,teamb,status,resulta,resultb,stadium,matchdate,user_id
1,2022-11-20 11:21:17.843408+00,World Cup 2018,1,Russia,Saudi Arabia,Complete,5,0,Luzhniki,14 Jun 2018 - 18:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
2,2022-11-20 11:21:17.843408+00,World Cup 2018,2,Uruguay,Egypt,Complete,1,0,Ekaterinburg Arena,15 Jun 2018 - 17:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
3,2022-11-20 11:21:17.843408+00,World Cup 2018,3,Morocco,Iran,Complete,0,1,Saint Petersburg,15 Jun 2018 - 18:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
4,2022-11-20 11:21:17.843408+00,World Cup 2018,4,Spain,Portugal,Complete,3,3,Fisht,15 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
5,2022-11-20 11:21:17.843408+00,World Cup 2018,5,France,Australia,Complete,2,1,Kazan Arena,16 Jun 2018 - 13:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
6,2022-11-20 11:21:17.843408+00,World Cup 2018,6,Denmark,Peru,Complete,1,0,Spartak,16 Jun 2018 - 16:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
7,2022-11-20 11:21:17.843408+00,World Cup 2018,7,Argentina,Iceland,Complete,1,1,Mordovia Arena,16 Jun 2018 - 19:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
8,2022-11-20 11:21:17.843408+00,World Cup 2018,8,Croatia,Nigeria,Complete,2,0,Kaliningrad,16 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
9,2022-11-20 11:21:17.843408+00,World Cup 2018,9,Costa Rica,Serbia,Complete,0,1,Samara Arena,17 Jun 2018 - 16:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
10,2022-11-20 11:21:17.843408+00,World Cup 2018,10,Brazil,Switzerland,Complete,1,1,Luzhniki,17 Jun 2018 - 18:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
11,2022-11-20 11:21:17.843408+00,World Cup 2018,11,Germany,Mexico,Complete,0,1,Rostov Arena,17 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
12,2022-11-20 11:21:17.843408+00,World Cup 2018,12,Sweden,South Korea,Complete,1,0,Nizhny Novgorod,18 Jun 2018 - 15:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
13,2022-11-20 11:21:17.843408+00,World Cup 2018,13,Belgium,Panama,Complete,3,0,Fisht,18 Jun 2018 - 18:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
14,2022-11-20 11:21:17.843408+00,World Cup 2018,14,England,Tunisia,Complete,2,1,Volgograd Arena,18 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
15,2022-11-20 11:21:17.843408+00,World Cup 2018,15,Colombia,Japan,Complete,1,2,Mordovia Arena,19 Jun 2018 - 15:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
16,2022-11-20 11:21:17.843408+00,World Cup 2018,16,Poland,Senegal,Complete,1,2,Spartak,19 Jun 2018 - 18:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
17,2022-11-20 11:21:17.843408+00,World Cup 2018,17,Russia,Egypt,Complete,3,1,Saint Petersburg,19 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
18,2022-11-20 11:21:17.843408+00,World Cup 2018,18,Uruguay,Saudi Arabia,Complete,1,0,Luzhniki,20 Jun 2018 - 15:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
19,2022-11-20 11:21:17.843408+00,World Cup 2018,19,Portugal,Morocco,Complete,1,0,Rostov Arena,20 Jun 2018 - 18:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
20,2022-11-20 11:21:17.843408+00,World Cup 2018,20,Iran,Spain,Complete,0,1,Kazan Arena,20 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
21,2022-11-20 11:21:17.843408+00,World Cup 2018,21,Denmark,Australia,Complete,1,1,Samara Arena,21 Jun 2018 - 16:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
22,2022-11-20 11:21:17.843408+00,World Cup 2018,22,France,Peru,Complete,1,0,Ekaterinburg Arena,21 Jun 2018 - 20:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
23,2022-11-20 11:21:17.843408+00,World Cup 2018,23,Argentina,Croatia,Complete,0,3,Nizhny Novgorod,21 Jun 2018 - 21:00,bfca5679-f23c-4a92-b297-7a8ac49860f5
